,city,n_tech_jobs,lat,lng,postdate_timespan,prevalent_job_type,size,color
0,"Abbott Park, IL",1.0,38.9497,-77.3461,2,managment,10.211988304093568,0.6666666666666666
1,"Aberdeen Proving Ground, MD",2.0,35.7819,-78.8195,2,other,10.423976608187134,0.6666666666666666
2,"Aberdeen, MD",5.0,37.1051,-76.5185,2,other,11.059941520467836,0.6666666666666666
3,"Acton, MA",3.0,,,2,ai,10.635964912280702,0.6666666666666666
4,"Acworth, GA",1.0,37.5295,-77.4756,2,other,10.211988304093568,0.6666666666666666
5,"Ada, MI",1.0,37.7624,-121.9365,2,other,10.211988304093568,0.6666666666666666
6,"Ada, OK",2.0,27.9945,-82.4447,2,other,10.423976608187134,0.6666666666666666
7,"Addison, IL",1.0,42.6854,-89.0135,2,other,10.211988304093568,0.6666666666666666
8,"Addison, TX",32.0,32.959,-96.8355,2,other,16.783625730994153,0.6666666666666666
9,"Adelphi, MD",1.0,,,2,managment,10.211988304093568,0.6666666666666666
10,"Agawam, MA",6.0,,,2,other,11.271929824561404,0.6666666666666666
11,"Ak, AK",1.0,33.5791,-112.2311,2,other,10.211988304093568,0.6666666666666666
12,"Akron, OH",1.0,37.5553,-122.2659,2,other,10.211988304093568,0.6666666666666666
13,"Alameda, CA",13.0,40.6077,-74.2807,2,other,12.755847953216374,0.6666666666666666
14,"Albany, NY",27.0,42.6664,-73.7987,2,other,15.723684210526315,0.6666666666666666
15,"Albertson, NY",2.0,,,2,other,10.423976608187134,0.6666666666666666
16,"Albuquerque, NM",7.0,36.2333,-115.2654,3,other,11.48391812865497,1.0
17,"Alcoa, TN",1.0,42.6664,-73.7987,3,other,10.211988304093568,1.0
18,"Alexandria, VA",37.0,29.786,-95.3885,3,other,17.843567251461987,1.0
19,"Alhambra, CA",1.0,37.5522,-122.3121,3,ai,10.211988304093568,1.0
20,"Aliso Viejo, CA",8.0,37.3012,-121.848,3,other,11.695906432748538,1.0
21,"Allegan, MI",1.0,38.5677,-121.4685,3,other,10.211988304093568,1.0
22,"Allen Park, MI",2.0,41.2627,-96.0529,3,other,10.423976608187134,1.0
23,"Allen, TX",6.0,33.1088,-96.6735,3,other,11.271929824561404,1.0
24,"Allendale, NJ",8.0,40.7184,-74.0686,3,managment,11.695906432748538,1.0
25,"Allentown, PA",28.0,40.5961,-75.4756,3,other,15.935672514619883,1.0
26,"Alpharetta, GA",324.0,34.0704,-84.2738,3,other,78.68421052631578,1.0
27,"Ambler, PA",2.0,40.1564,-75.2215,3,other,10.423976608187134,1.0
28,"American Fork, UT",4.0,37.7558,-122.4449,3,other,10.847953216374268,1.0
29,"Ames, IA",1.0,34.0391,-84.3513,3,other,10.211988304093568,1.0
30,"Amherst, MA",6.0,40.6943,-73.9249,3,other,11.271929824561404,1.0
31,"Amherst, NY",3.0,37.6663,-121.8805,3,managment,10.635964912280702,1.0
32,"Anaheim, CA",7.0,33.839,-117.8574,3,ai,11.48391812865497,1.0
33,"Anchorage, AK",3.0,33.6872,-111.8651,2,managment,10.635964912280702,0.6666666666666666
34,"Andover, MA",20.0,37.4001,-122.0796,2,other,14.239766081871345,0.6666666666666666
35,"Ann Arbor, MI",35.0,41.2627,-96.0529,2,other,17.41959064327485,0.6666666666666666
36,"Annapolis Junction, MD",28.0,33.7628,-84.422,2,other,15.935672514619883,0.6666666666666666
37,"Annapolis, MD",5.0,38.8185,-77.0861,2,other,11.059941520467836,0.6666666666666666
38,Any City,1.0,40.7834,-73.9662,2,other,10.211988304093568,0.6666666666666666
39,"Arden Hills, MN",2.0,37.3646,-121.968,2,other,10.423976608187134,0.6666666666666666
40,"Ardmore, PA",1.0,40.5697,-74.3172,2,other,10.211988304093568,0.6666666666666666
41,"Arlington Heights, IL",1.0,27.9945,-82.4447,2,other,10.211988304093568,0.6666666666666666
42,"Arlington, MA",1.0,,,2,other,10.211988304093568,0.6666666666666666
43,"Arlington, TX",30.0,32.6998,-97.125,2,other,16.359649122807017,0.6666666666666666
44,"Arlington, VA",83.0,38.8786,-77.1011,2,other,27.59502923976608,0.6666666666666666
45,"Ashburn, VA",15.0,39.0277,-77.4714,2,other,13.179824561403509,0.6666666666666666
46,"Astoria, NY",1.0,,,1,managment,10.211988304093568,0.3333333333333333
47,"Athens, GA",4.0,34.0704,-84.2738,1,other,10.847953216374268,0.3333333333333333
48,"Atlanta - Buckhead, GA",8.0,33.7628,-84.422,1,other,11.695906432748538,0.3333333333333333
49,"Atlanta, GA",1245.0,33.7628,-84.422,1,other,273.92543859649123,0.3333333333333333
50,"Atlantic City, NJ",2.0,40.6943,-73.9249,1,other,10.423976608187134,0.3333333333333333
51,"Auburn Hills, MI",6.0,30.3005,-97.7522,1,other,11.271929824561404,0.3333333333333333
52,"Auburn, IN",1.0,40.5083,-74.501,2,ai,10.211988304093568,0.6666666666666666
53,"Auburn, NH",1.0,,,2,other,10.211988304093568,0.6666666666666666
54,"Auburn, WA",2.0,47.5951,-122.1535,2,ai,10.423976608187134,0.6666666666666666
55,"Audubon, PA",4.0,40.1097,-75.2803,2,other,10.847953216374268,0.6666666666666666
56,"Augusta, GA",3.0,37.5265,-121.9843,2,other,10.635964912280702,0.6666666666666666
57,"Augusta, ME",1.0,37.7624,-121.9365,2,managment,10.211988304093568,0.6666666666666666
58,"Aurora, CO",7.0,37.3012,-121.848,2,other,11.48391812865497,0.6666666666666666
59,"Austell, GA",1.0,34.0704,-84.2738,2,other,10.211988304093568,0.6666666666666666
60,"Austin, TX",132.0,30.3005,-97.7522,2,other,37.98245614035088,0.6666666666666666
61,"Avon, CT",2.0,40.6943,-73.9249,2,other,10.423976608187134,0.6666666666666666
62,"Ayer, MA",1.0,,,2,other,10.211988304093568,0.6666666666666666
63,"Azusa, CA",1.0,34.0235,-118.481,2,other,10.211988304093568,0.6666666666666666
64,"Bainbridge Island, WA",1.0,47.6763,-122.1169,2,other,10.211988304093568,0.6666666666666666
65,"Bakersfield, CA",1.0,34.0058,-118.3968,2,other,10.211988304093568,0.6666666666666666
66,"Bala Cynwyd, PA",19.0,40.0077,-75.1339,2,other,14.027777777777779,0.6666666666666666
67,"Ball Ground, GA",1.0,33.7628,-84.422,2,other,10.211988304093568,0.6666666666666666
68,"Baltimore, MD",68.0,39.3051,-76.6144,2,other,24.41520467836257,0.6666666666666666
69,"Baltimore, Md, MD",1.0,39.0834,-77.1553,2,other,10.211988304093568,0.6666666666666666
70,Bangalore,1.0,,,2,ai,10.211988304093568,0.6666666666666666
71,Bangkok,4.0,26.6194,-81.8302,2,other,10.847953216374268,0.6666666666666666
72,"Bannockburn, IL",1.0,43.0822,-89.393,2,other,10.211988304093568,0.6666666666666666
73,"Basking Ridge, NJ",82.0,40.7061,-74.5568,2,other,27.383040935672515,0.6666666666666666
74,"Bathesa, MD",1.0,,,2,other,10.211988304093568,0.6666666666666666
75,"Baton Rouge, LA",1.0,39.762,-104.8758,2,other,10.211988304093568,0.6666666666666666
76,"Bay Shore, NY",2.0,40.7288,-73.2495,2,managment,10.423976608187134,0.6666666666666666
77,"Bayport, NY",1.0,37.3012,-121.848,2,other,10.211988304093568,0.6666666666666666
78,"Beachwood, OH",3.0,44.9635,-93.2678,2,ai,10.635964912280702,0.6666666666666666
79,"Beaufort, SC",1.0,40.0077,-75.1339,2,ai,10.211988304093568,0.6666666666666666
80,"Beaumont, TX",4.0,47.6211,-122.3244,2,other,10.847953216374268,0.6666666666666666
81,"Beavercreek, OH",1.0,42.7142,-84.5601,2,ai,10.211988304093568,0.6666666666666666
82,"Beaverton, OR",17.0,45.4779,-122.8168,2,other,13.603801169590643,0.6666666666666666
83,"Bedford, MA",10.0,43.0822,-89.393,2,other,12.119883040935672,0.6666666666666666
84,"Bedminster, NJ",10.0,40.6943,-73.9249,2,other,12.119883040935672,0.6666666666666666
85,"Bee Cave, TX",2.0,40.8645,-74.4135,2,other,10.423976608187134,0.6666666666666666
86,"Beech Grove, IN",3.0,29.4632,-98.5238,2,other,10.635964912280702,0.6666666666666666
87,"Beford, MA",1.0,37.7624,-121.9365,2,security,10.211988304093568,0.6666666666666666
88,Beijing,1.0,,,2,managment,10.211988304093568,0.6666666666666666
89,"Bel Air, MD",1.0,42.3188,-71.0852,2,other,10.211988304093568,0.6666666666666666
90,"Belcamp, MD",2.0,38.9866,-77.1188,2,other,10.423976608187134,0.6666666666666666
91,"Bellaire, TX",1.0,29.786,-95.3885,2,ai,10.211988304093568,0.6666666666666666
92,"Bellevue, WA",215.0,47.5951,-122.1535,2,other,55.57748538011696,0.6666666666666666
